,fullname
185,Katarzyna Anna Błońska
202,Anna Teresa Bokszczanin
406,Romuald Derbis
471,Joanna Dymecka
501,Jakub Aleksander Filipkowski
570,Rafał Janusz Gerymski
788,Arkadiusz Mirosław Jasiński
842,Alicja Kalus
862,Zofia Agnieszka Kardasz
891,Ewa Cecylia Kiełek-Rataj
1044,Dariusz Krok
1231,Anna Machnik-Czerwik
1384,Barbara Maria Mróz
1516,Grzegorz Pajestka
1753,Aleksandra Maria Rogowska
1897,Katarzyna Skałacka
2259,Radosław Bartosz Walczak
2456,Przemysław Zdybek
2480,Barbara Zmaczyńska-Witek
