,fullname
28,Małgorzata Artymiak
97,Monika Baryła-Matejczuk
545,Zbigniew Bronisław Gaś
826,Bożydar Kaczmarek
878,Grzegorz Jarosław Kata
1214,Jacek Adam Łukasiewicz
1292,Katarzyna Małgorzata Markiewicz
1550,Marta Pawelec
1646,Wiesław Piotr Poleszak
1665,Robert Czesław Porzak
1892,Małgorzata Sitarczyk
1998,Marcin Stencel
2241,Wioletta Kornelia Tuszyńska-Bogucka
