,fullname
5,Dorota Ackermann-Szulgit
19,Beata Andrzejewska
316,Ewelina Cichoń
429,Grażyna Dolińska-Zygmunt
468,Dorota Dyjakon
665,Michał Gusin
886,Andrzej Kiejna
909,Wioletta Klimczak
1312,Alina Matlakiewicz
1421,Tomasz Niemiec
1467,Rafał Ohme
1717,Beata Rajba
2307,Agnieszka Wilczyńska
